id,year,sex,age,mass,survival,reproduction,fitness,StMass,mother
CN08-072,2008,Female,J,NA,0,0,0,NA,CN06-089
CN08-073,2008,Female,J,30,1,0,2,-0.093878360447507,CN08-099
CN08-073,2009,Female,A,41,0,8,8,0.965947921642194,CN08-099
CN08-075,2008,Male,J,24,1,0,2,-0.671965423405526,CN07-160
CN08-075,2009,Male,A,44,0,4,4,1.2549914531212,CN07-160
CN08-076,2008,Female,J,23,1,0,2,-0.768313267231862,CN07-160
CN08-076,2009,Female,A,38,0,2,2,0.676904390163184,CN07-160
CN08-077,2008,Female,J,26,1,0,2,-0.479269735752853,CN08-009
CN08-077,2009,Female,A,41,0,5,5,0.965947921642194,CN08-009
CN08-078,2008,Male,J,27,1,0,2,-0.382921891926516,CN07-114
CN08-078,2009,Male,A,42,0,12,12,1.06229576546853,CN07-114
CN08-079,2008,Male,J,30,1,0,2,-0.093878360447507,CN07-178
CN08-079,2009,Male,A,44,1,2,4,1.2549914531212,CN07-178
CN08-079,2010,Male,A,47,0,0,0,1.54403498460021,CN07-178
CN08-080,2008,Male,J,32,0,0,0,0.0988173272051659,CN06-187
CN08-081,2008,Male,J,26,0,0,0,-0.479269735752853,CN07-125
CN08-082,2008,Male,J,15,0,0,0,-1.53909601784255,CN08-012
CN08-083,2008,Female,J,23,0,0,0,-0.768313267231862,CN07-124
CN08-085,2008,Female,J,16,0,0,0,-1.44274817401622,CN07-036
CN08-086,2008,Female,J,26,0,0,0,-0.479269735752853,CN07-131
CN08-087,2008,Male,J,21,0,0,0,-0.961008954884535,CN07-036
CN08-088,2008,Male,J,24,0,0,0,-0.671965423405526,CN07-123
CN08-089,2008,Female,J,NA,1,0,2,NA,CN08-012
CN08-089,2009,Female,A,33,1,6,8,0.195165171031502,CN08-012
CN08-089,2010,Female,A,41,0,2,2,0.965947921642194,CN08-012
CN08-090,2008,Male,J,24,0,0,0,-0.671965423405526,CN08-012
CN08-091,2008,Male,J,22,1,0,2,-0.864661111058199,CN07-124
CN08-091,2009,Male,A,46,0,4,4,1.44768714077388,CN07-124
CN08-092,2008,Male,J,23,0,0,0,-0.768313267231862,CN07-113
CN08-093,2008,Female,J,20,1,0,2,-1.05735679871087,CN07-187
CN08-093,2009,Female,A,38,1,4,6,0.676904390163184,CN07-187
CN08-093,2010,Female,A,41,0,4,4,0.965947921642194,CN07-187
CN08-094,2008,Male,J,25,0,0,0,-0.575617579579189,NA
CN08-095,2008,Male,J,33,1,0,2,0.195165171031502,NA
CN08-095,2009,Male,A,51,0,1,1,1.92942635990556,NA
CN08-096,2008,Male,J,28,1,0,2,-0.28657404810018,CN07-026
CN08-096,2009,Male,A,46,0,7,7,1.44768714077388,CN07-026
CN08-097,2008,Male,J,32,1,0,2,0.0988173272051659,CN07-004
CN08-097,2009,Male,A,44,0,1,1,1.2549914531212,CN07-004
CN08-099,2008,Female,A,36,0,2,2,0.484208702510512,CN07-F1
CN08-100,2008,Male,J,26,0,0,0,-0.479269735752853,CN08-099
CN08-101,2008,Female,J,30,1,0,2,-0.093878360447507,CN07-026
CN08-101,2009,Female,A,41,0,3,3,0.965947921642194,CN07-026
CN08-102,2008,Male,J,25,0,0,0,-0.575617579579189,CN07-114
CN08-103,2008,Female,J,25,1,0,2,-0.575617579579189,CN07-043
CN08-103,2009,Female,A,36,0,0,0,0.484208702510512,CN07-043
CN08-104,2008,Male,J,28,0,0,0,-0.28657404810018,CN08-F5
CN08-107,2008,Female,J,27,0,0,0,-0.382921891926516,CN08-026
CN08-108,2008,Male,J,24,0,0,0,-0.671965423405526,CN08-026
CN08-109,2008,Male,J,32,0,0,0,0.0988173272051659,NA
CN08-112,2008,Female,J,18,1,0,2,-1.25005248636354,CN07-125
CN08-112,2009,Female,A,38,0,7,7,0.676904390163184,CN07-125
CN08-113,2008,Female,J,23,1,0,2,-0.768313267231862,CN07-108
CN08-113,2009,Female,A,37,0,8,8,0.580556546336848,CN07-108
CN08-115,2008,Female,J,11,0,0,0,-1.9244873931479,CN07-036
CN08-116,2008,Female,J,22,0,0,0,-0.864661111058199,CN07-124
CN08-117,2008,Male,J,17,1,0,2,-1.34640033018988,CN07-125
CN08-117,2009,Male,A,48,1,7,9,1.64038282842655,CN07-125
CN08-117,2010,Male,A,50,0,5,5,1.83307851607922,CN07-125
CN08-118,2008,Male,J,18,0,0,0,-1.25005248636354,CN07-125
CN09-001,2009,Female,A,41,0,4,4,0.965947921642194,NA
CN09-002,2009,Male,A,48,0,10,10,1.64038282842655,NA
CN09-003,2009,Female,A,36,0,1,1,0.484208702510512,CN08-F5
CN09-006,2009,Male,J,20,0,0,0,-1.05735679871087,CN08-112
CN09-008,2009,Female,A,40,0,8,8,0.869600077815857,CN07-036
CN09-010,2009,Male,J,20,0,0,0,-1.05735679871087,CN08-112
CN09-011,2009,Male,J,20,0,0,0,-1.05735679871087,CN08-112
CN09-012,2009,Male,A,45,0,1,1,1.35133929694754,CN06-089
CN09-013,2009,Female,A,30,0,0,0,-0.093878360447507,NA
CN09-014,2009,Female,J,26,0,1,1,-0.479269735752853,CN08-073
CN09-015,2009,Male,J,27,0,0,0,-0.382921891926516,CN08-073
CN09-016,2009,Female,J,21,0,0,0,-0.961008954884535,CN08-077
CN09-017,2009,Male,J,17,0,0,0,-1.34640033018988,CN08-113
CN09-018,2009,Male,J,14,0,0,0,-1.63544386166889,CN08-113
CN09-019,2009,Male,J,NA,0,0,0,NA,CN08-053
CN09-020,2009,Male,J,17,1,0,2,-1.34640033018988,CN07-125
CN09-020,2010,Male,A,51,1,5,7,1.92942635990556,CN07-125
CN09-021,2009,Female,A,36,0,0,0,0.484208702510512,NA
CN09-022,2009,Male,J,NA,0,0,0,NA,CN08-089
CN09-023,2009,Male,J,NA,0,0,0,NA,CN08-089
CN09-024,2009,Female,J,14,0,0,0,-1.63544386166889,CN07-113
CN09-025,2009,Male,J,30,0,0,0,-0.093878360447507,CN07-036
CN09-026,2009,Male,J,15,1,0,2,-1.53909601784255,CN07-036
CN09-026,2010,Male,A,50,0,3,3,1.83307851607922,CN07-036
CN09-027,2009,Female,J,15,0,0,0,-1.53909601784255,CN09-008
CN09-029,2009,Male,J,22,0,0,0,-0.864661111058199,CN07-125
CN09-031,2009,Female,J,18,0,0,0,-1.25005248636354,CN08-113
CN09-032,2009,Male,J,19,0,0,0,-1.15370464253721,CN08-113
CN09-033,2009,Female,J,27,0,0,0,-0.382921891926516,CN09-041
CN09-034,2009,Male,A,49,0,0,0,1.73673067225289,NA
CN09-035,2009,Female,J,24,0,0,0,-0.671965423405526,NA
CN09-036,2009,Male,A,45,0,0,0,1.35133929694754,CN06-157
CN09-037,2009,Female,J,29,1,1,3,-0.190226204273843,NA
CN09-037,2010,Female,A,43,0,1,1,1.15864360929487,NA
CN09-038,2009,Male,J,22,0,0,0,-0.864661111058199,CN08-036
